,0
man,165
thy,143
time,117
thing,113
night,91
thou,91
day,89
love,86
great,85
like,83
good,78
eye,75
death,74
come,69
heart,69
thought,68
thee,68
shall,67
tear,67
long,62
life,61
fate,61
deed,58
world,58
word,56
find,55
war,54
ship,53
blood,53
spirit,52
cry,51
know,49
fear,49
hour,48
hath,47
cloud,46
grow,46
little,45
bear,45
hear,44
grief,43
god,43
think,43
deep,42
hair,42
hate,41
let,41
ye,41
fall,40
work,39
earth,39
deadly,38
leave,38
pain,37
see,37
feel,35
king,35
live,35
bitter,35
soul,34
o,34
look,33
black,32
foe,32
stand,32
take,32
old,31
cold,31
wrong,30
mind,30
white,30
nature,30
end,29
shame,28
sea,28
wind,27
cause,27
hand,27
wear,27
sin,27
father,26
strife,26
bring,26
way,26
sweet,26
hell,25
face,25
doth,25
blow,25
kind,25
evil,25
heaven,25
wrath,24
fair,24
sorrow,24
water,24
light,24
fierce,24
power,24
small,24
sore,24
till,24
rise,24
sight,24
tell,23
say,23
woman,23
meet,23
give,23
horror,23
kill,22
place,22
half,22
follow,22
lie,22
care,22
turn,22
fire,22
hold,22
head,21
crime,21
shadow,21
poor,21
slave,21
dark,21
laugh,21
speak,20
sky,20
new,20
hide,20
make,20
o'er,20
art,20
high,20
sword,19
woe,19
doom,19
terror,19
free,19
large,19
proud,19
spot,19
unto,19
extreme,19
truth,19
dream,19
red,19
mean,19
people,19
fly,18
lest,18
base,18
sure,18
anger,18
have,18
run,18
disgrace,18
scorn,18
doer,17
dost,17
cruel,17
cup,17
beneath,17
act,17
action,17
self,17
secret,17
hard,17
form,17
bird,17
low,17
jet,17
play,17
away,17
present,17
battle,17
wave,17
scene,17
storm,17
human,16
go,16
despair,16
grim,16
burn,16
blue,16
dread,16
child,15
velvet,15
sleep,15
arm,15
spring,15
drop,15
wild,15
escape,15
shield,15
devise,15
toil,15
fight,15
year,14
force,14
strong,14
oh,14
envy,14
smile,14
set,14
shun,14
keen,14
pass,14
souled,14
passion,14
stricken,14
home,14
spear,14
lead,14
fortune,14
ill,14
befall,14
change,14
law,14
coal,14
voice,14
friend,14
desire,14
dare,13
manner,13
move,13
wound,13
certain,13
fiend,13
wing,13
drink,13
case,13
letter,13
tis,13
hatred,13
bad,13
cease,13
reproach,13
star,13
breath,13
race,13
groan,13
seek,13
darkness,13
seize,13
service,13
amid,13
demon,13
mortal,13
sound,13
skin,13
jove,13
speech,13
smoke,13
save,13
enemy,13
prove,13
sort,12
silk,12
silence,12
youth,12
oft,12
curse,12
raise,12
destiny,12
tiding,12
use,12
rage,12
murder,12
boy,12
feeling,12
line,12
dead,12
reject,12
shake,12
matter,12
possess,12
air,12
huge,12
hope,12
personal,12
vice,12
thunder,12
raven,12
hot,11
shade,11
right,11
far,11
subject,11
shape,11
brown,11
paint,11
lust,11
pity,11
taste,11
sharp,11
harm,11
forth,11
coat,11
land,11
space,11
well,11
help,11
spread,11
vain,11
stream,11
kriemhild,11
beat,11
thick,11
sign,11
yield,11
bare,11
loathsome,11
gall,11
genius,11
public,11
blast,11
mark,11
cast,11
pride,11
stay,10
eyed,10
th,10
return,10
dire,10
silent,10
lord,10
tale,10
didst,10
mankind,10
dull,10
terrible,10
wife,10
suspicion,10
moment,10
true,10
mourn,10
misery,10
draw,10
near,10
danger,10
keep,10
england,10
gold,10
gain,10
wit,10
fruit,10
body,10
minded,10
share,10
anguish,10
throw,10
brood,10
mask,10
brave,10
foul,10
malice,9
learn,9
pitch,9
fact,9
ere,9
fill,9
weather,9
suffer,9
tree,9
able,9
horse,9
awe,9
reason,9
employ,9
note,9
dress,9
triumph,9
sad,9
slay,9
hound,9
chance,9
wrought,9
mockery,9
enter,9
express,9
utter,9
wretch,9
strain,9
pursue,9
need,9
touch,9
view,9
begin,9
jest,9
gather,9
shrink,9
sheep,9
lay,9
ancient,9
die,9
measure,9
pay,9
grace,9
understand,9
effect,9
cat,9
write,9
soon,9
object,9
future,9
counsel,9
despite,9
person,9
lip,9
ne'er,9
try,9
drunk,9
traitor,9
mouth,9
break,9
despise,9
past,9
beauty,9
fury,8
pleasure,8
breast,8
chief,8
stern,8
arise,8
tongue,8
girl,8
destroy,8
dwell,8
insult,8
christian,8
forest,8
lose,8
answer,8
rich,8
double,8
forget,8
bid,8
obtain,8
treason,8
queen,8
fraught,8
comfort,8
endure,8
figure,8
swift,8
common,8
monster,8
avoid,8
thine,8
house,8
rank,8
hurl,8
produce,8
son,8
guard,8
dart,8
wicked,8
flee,8
mighty,8
age,8
spare,8
loud,8
close,8
mr.,8
order,8
doubt,8
probably,8
design,8
harsh,8
habit,8
appear,8
rock,8
fame,8
secure,8
river,8
start,8
render,8
virtue,8
nurse,8
round,8
glance,8
omen,8
presence,8
show,8
soule,8
state,7
honour,7
clothe,7
dank,7
goddess,7
iron,7
purpose,7
aught,7
brother,7
attack,7
strike,7
spake,7
imagine,7
steed,7
ring,7
thousand,7
send,7
midnight,7
mother,7
increase,7
teach,7
weeping,7
tumult,7
sense,7
brow,7
tyrant,7
folk,7
necessary,7
flow,7
bitterly,7
haunt,7
win,7
deck,7
stain,7
oppression,7
flood,7
wail,7
conduct,7
bond,7
beautiful,7
spleen,7
loss,7
greeks,7
character,7
sir,7
worth,7
town,7
soft,7
affect,7
arrow,7
rude,7
agony,7
waste,7
pour,7
cruelty,7
flower,7
effort,7
curl,7
field,7
heavy,7
chain,7
tempest,7
overcome,7
ruin,7
stone,7
drive,7
tone,7
city,7
name,7
hast,7
detraction,7
political,7
young,7
smell,7
shore,7
wine,7
lot,7
din,7
ambition,7
poison,7
juno,7
deny,7
band,7
revenge,7
abhor,7
shed,7
offence,7
poet,7
book,7
spite,7
utmost,7
possible,7
false,7
subsistence,7
slavery,7
restraint,7
vengeance,7
murderous,7
guest,7
creature,7
creep,7
refuse,7
contempt,7
neglect,7
get,7
reign,7
noise,7
mood,7
gunther,7
term,7
vile,7
dreadful,6
pit,6
north,6
suppose,6
equal,6
gift,6
discover,6
depth,6
equally,6
husband,6
nation,6
heat,6
intend,6
impulse,6
unutterable,6
beginning,6
tooth,6
glory,6
host,6
alike,6
venom,6
brand,6
plan,6
prayer,6
astonishment,6
cover,6
easy,6
knight,6
derision,6
create,6
fit,6
task,6
noble,6
beast,6
taunt,6
wight,6
support,6
lady,6
weep,6
limb,6
carry,6
ease,6
disgust,6
unholy,6
tremble,6
music,6
ewe,6
bind,6
marry,6
desert,6
struggle,6
goodness,6
praise,6
haired,6
vow,6
floor,6
succeed,6
egress,6
wish,6
palace,6
plot,6
contend,6
bone,6
throne,6
merely,6
suit,6
cut,6
peace,6
lover,6
mid,6
strange,6
troy,6
altogether,6
mountain,6
disappointment,6
angry,6
living,6
particularly,6
frequent,6
trade,6
warning,6
stuff,6
behold,6
eternal,6
exceed,6
endless,6
south,6
sentiment,6
cattle,6
civil,6
open,6
trouble,6
dog,6
trick,6
wide,6
reptile,6
thank,6
food,6
drown,6
strength,6
rest,6
ear,6
verse,6
grievous,6
oath,6
farm,6
fancy,6
course,6
plain,6
malignant,6
joy,6
warrior,6
command,6
shaft,6
nearly,6
pure,6
flame,6
rascal,6
rain,6
disguise,6
slight,6
naught,6
granite,6
prey,6
family,6
charm,6
plight,6
sour,6
generous,6
hunger,6
inspire,5
journey,5
cymbal,5
commit,5
pray,5
saki,5
rush,5
vast,5
betide,5
cure,5
infinite,5
wisdom,5
fault,5
mouthed,5
siegfried,5
bend,5
add,5
frost,5
vent,5
bent,5
cost,5
maid,5
herb,5
path,5
wall,5
report,5
flight,5
dryden,5
plume,5
absolutely,5
inevitable,5
wilt,5
mount,5
europe,5
region,5
read,5
shoe,5
propensity,5
general,5
insinuate,5
surely,5
assume,5
reflect,5
pool,5
neighbour,5
twa,5
walnut,5
bright,5
cherish,5
root,5
remembrance,5
winter,5
arouse,5
interest,5
treachery,5
wise,5
permit,5
lock,5
deal,5
check,5
drag,5
indignant,5
straight,5
twixt,5
deeply,5
road,5
ordinary,5
taint,5
catch,5
knowledge,5
wretched,5
hateful,5
ridge,5
freedom,5
wholly,5
honor,5
giant,5
altar,5
thin,5
brain,5
bed,5
glare,5
cloth,5
gaze,5
country,5
tall,5
intention,5
piece,5
pomp,5
crown,5
offend,5
torrent,5
establish,5
monstrous,5
infernal,5
de,5
bread,5
sprite,5
hunt,5
treat,5
oman,5
labor,5
idle,5
pitchy,5
defiance,5
villain,5
peculiar,5
natural,5
trash,5
shine,5
agamemnon,5
greatly,5
consider,5
point,5
bale,5
intent,5
vulture,5
settle,5
choice,5
conceal,5
trace,5
clear,5
safety,5
hang,5
wealth,5
doubtless,5
court,5
blessing,5
lofty,5
breed,5
bulk,5
compare,5
song,5
pasture,5
warm,5
hearted,5
brake,5
reveal,5
soil,5
mingle,5
simply,5
herd,5
remember,5
ba,5
one,5
affliction,5
idol,5
big,5
represent,5
justice,5
shriek,5
