,0
thy,141
eye,127
thing,127
man,120
love,108
heart,90
come,90
thou,86
day,84
word,80
night,78
great,76
good,76
like,75
time,71
o,63
life,62
look,60
spirit,56
thee,56
little,54
long,54
tear,53
white,53
old,53
thought,49
shall,48
fear,46
cloud,45
black,44
death,44
find,42
scorn,42
hair,41
know,41
world,40
pain,40
soul,39
fall,38
cold,38
coal,38
let,37
grief,37
deep,36
hear,36
god,35
fair,34
work,33
hate,33
leave,33
bear,33
bitter,32
war,32
blue,31
jet,31
power,30
water,30
hour,30
bring,29
live,29
cry,29
think,29
place,28
sweet,28
o'er,28
turn,28
cup,27
grow,27
letter,27
wrong,27
see,26
blood,26
way,26
dream,26
hath,26
till,26
lie,26
away,26
ye,25
mind,25
feel,25
face,25
wind,25
deed,24
hold,24
donne,24
eyed,24
earth,24
woman,23
take,23
de,22
new,22
art,22
heaven,22
laugh,21
wild,21
toil,21
horror,21
cause,21
nature,21
tell,20
=,20
steed,20
fruit,20
bad,20
speak,20
poor,20
horse,19
smile,19
sky,19
woe,19
lip,19
stand,19
make,19
fill,19
end,19
child,19
sea,18
sore,18
half,18
small,18
passion,18
free,18
cruel,18
strong,18
run,18
boy,18
give,18
son,17
dog,17
pay,17
hatred,17
fierce,17
anguish,17
big,17
oh,17
fate,17
wine,17
thine,17
head,17
light,17
shame,17
sorrow,17
land,17
save,17
beneath,16
bird,16
people,16
past,16
race,16
law,16
lady,16
probably,16
slave,15
dark,15
high,15
creature,15
tree,15
doth,15
fortune,15
despair,15
mother,15
sound,15
mean,15
shadow,15
sight,15
begin,15
meet,15
truth,15
foul,15
large,15
sword,15
write,15
air,15
taste,15
far,14
lovely,14
wave,14
envy,14
wood,14
tis,14
joy,14
brow,14
rain,14
wing,14
sin,14
die,14
spot,14
hand,14
storm,14
tongue,14
low,14
evil,14
wear,14
break,13
forget,13
reject,13
strife,13
self,13
say,13
go,13
vile,13
dear,13
present,13
sigh,13
kind,13
mortal,13
velvet,13
pride,13
lose,13
seek,13
wretch,13
red,13
touch,13
shape,12
breath,12
dire,12
twa,12
temptation,12
proud,12
sign,12
arm,12
literally,12
crime,12
line,12
praise,12
learn,12
appear,12
change,12
danger,12
dead,12
want,12
hell,12
thousand,12
feeling,12
ah,12
drink,12
call,12
course,12
foe,12
right,12
bare,12
spite,11
fight,11
lay,11
burn,11
shade,11
dress,11
frown,11
brother,11
surely,11
cover,11
pass,11
rage,11
thick,11
base,11
sharp,11
rock,11
friend,11
hang,11
dread,11
didst,11
witch,11
home,11
year,11
frost,11
fly,11
wi,11
weeping,10
send,10
whisper,10
short,10
fancy,10
sit,10
flow,10
dare,10
raven,10
reader,10
memory,10
maid,10
wolf,10
struggle,10
follow,10
expression,10
abuse,10
deal,10
demon,10
pity,10
drop,10
bonnie,10
blow,10
bread,10
traitor,10
flee,10
dost,10
dust,10
gray,10
need,10
get,10
maiden,10
anger,10
try,10
bright,10
sun,9
harm,9
form,9
host,9
cast,9
soft,9
ill,9
sweep,9
mouth,9
hope,9
browed,9
act,9
drive,9
hide,9
ancient,9
m.,9
contempt,9
poet,9
utter,9
verse,9
wall,9
deadly,9
vice,9
book,9
chill,9
warning,9
mere,9
nation,9
strike,9
tale,9
plume,9
object,9
thet,9
foot,9
desire,9
weather,9
beauty,9
close,9
simply,9
ghost,8
lover,8
curse,8
care,8
wife,8
disease,8
cat,8
fiend,8
spread,8
sense,8
true,8
draught,8
round,8
weep,8
rude,8
have,8
weigh,8
grim,8
enemy,8
suppose,8
suffer,8
curl,8
vain,8
crown,8
stone,8
body,8
ask,8
moment,8
bonny,8
theme,8
