,0
man,1516
thy,1313
old,1299
love,1068
thee,1035
god,1026
thou,927
young,923
shall,922
good,905
like,799
heart,749
great,683
know,681
life,676
little,631
come,618
let,549
place,509
leave,502
woman,482
well,469
look,465
unto,446
king,429
true,413
o,412
ye,407
long,405
way,392
thing,389
hand,387
see,382
live,378
find,365
eye,364
away,360
poor,338
child,338
fair,335
word,333
sweet,326
care,326
soul,324
time,319
hath,317
say,307
hold,304
think,300
dead,295
day,294
new,291
stand,283
go,281
bear,279
give,279
hear,271
fall,267
earth,263
joy,262
work,261
die,260
death,254
fear,253
voice,252
heaven,247
light,247
strong,244
friend,242
thought,235
dear,229
lie,228
father,226
white,223
flower,223
wise,223
home,220
high,219
till,216
arm,214
bring,212
dream,207
face,204
rest,204
mortal,203
world,202
mother,202
feel,201
make,199
take,198
tell,195
mind,191
far,191
beauty,191
sleep,190
art,188
fire,187
war,185
nature,185
boy,183
hope,183
right,180
rise,180
power,179
horse,177
bird,176
rich,176
wife,175
grow,175
son,174
mean,173
speak,170
brave,170
pain,170
song,170
have,168
spirit,166
lady,164
fight,163
lose,160
wild,158
answer,156
seek,156
half,155
human,154
water,154
smile,153
doth,153
pleasure,153
learn,149
night,148
sound,147
lead,146
truth,145
peace,145
gold,145
strange,144
beautiful,144
thousand,143
people,142
win,142
wind,142
sea,141
order,141
star,140
pass,140
gift,140
thine,139
head,137
mighty,136
forth,136
counsel,135
turn,134
kind,133
air,133
form,133
lord,132
fly,132
spring,131
soon,130
birth,128
round,127
wine,127
strength,126
music,126
oh,126
bad,125
heed,124
deep,124
save,124
call,123
tear,122
lay,122
tis,121
reason,121
wing,121
desire,120
want,120
sing,119
ask,119
need,118
troy,118
appear,117
sit,117
holy,117
meet,117
honour,117
maid,116
hate,116
run,116
body,114
send,114
free,113
house,113
faith,112
o'er,112
kiss,111
set,111
tender,111
noble,111
begin,110
break,110
lip,109
brother,109
year,109
land,109
ear,108
self,107
common,107
command,107
lover,106
stone,106
sorrow,106
lovely,105
queen,105
sun,104
shine,103
gunther,103
praise,103
law,103
bright,103
change,103
weep,102
bold,102
worth,102
hour,101
walk,100
wound,100
seat,99
blood,99
burn,98
present,97
pity,97
dost,97
glory,97
angel,97
hast,97
ship,94
return,94
follow,94
play,93
delight,93
charge,93
freedom,93
gain,93
dare,93
tree,92
ground,92
happy,92
vain,92
flame,92
breath,92
kill,91
pure,91
evil,91
end,90
small,90
pride,90
foremost,90
perfect,89
shadow,89
hide,89
divine,89
foot,88
fate,88
shape,88
country,88
gentle,88
wish,88
red,87
virtue,87
blind,87
grace,87
fine,87
bid,87
certain,86
pay,86
wait,86
read,86
state,86
girl,86
honest,85
simple,85
serve,85
sick,85
sense,84
hector,84
prove,83
remain,83
ill,83
flight,82
trust,82
slay,82
cry,82
city,82
wear,82
fill,82
sad,82
get,81
laugh,81
promise,80
ere,80
bed,80
help,80
husband,80
cloud,80
secret,79
courage,79
past,79
passion,79
low,79
youth,79
choose,79
merry,78
yield,78
sign,78
daughter,78
mr.,77
cause,77
sight,77
fond,76
comfort,76
rose,76
talk,76
glad,76
single,76
fit,76
crown,76
note,76
knight,75
chief,75
keep,75
battle,75
sin,74
write,74
manner,74
sir,74
forget,74
thank,74
race,74
ancient,73
liberty,73
food,73
dog,72
worthy,72
money,72
force,72
course,72
master,72
jove,71
taste,71
equal,71
wit,71
beast,71
near,70
show,70
lion,70
pray,70
account,69
possession,69
suffer,69
fail,69
weary,69
teach,68
summer,68
breast,68
fellow,68
large,68
letter,68
carry,68
rain,67
view,67
proud,67
touch,67
pretty,66
bow,66
use,66
morning,66
blow,66
hair,65
kriemhild,65
silver,65
sacred,65
interest,65
receive,64
try,64
immortal,64
shalt,64
mad,64
cup,64
snow,64
move,64
notice,64
soft,64
drink,64
grave,63
england,63
maiden,63
draw,63
etzel,63
step,63
natural,62
warm,62
poet,62
wealth,62
breathe,62
mountain,61
soldier,61
share,61
honor,61
book,61
moon,61
cold,61
gods,61
alive,61
fame,61
early,60
build,60
false,60
dark,60
bind,60
behold,60
real,60
wave,60
second,59
valiant,59
black,59
genius,59
fool,59
achilles,59
ease,59
golden,59
ring,59
one,59
wrong,58
eternal,58
grant,58
earthly,58
ne'er,58
rare,58
bitter,57
sister,57
hard,57
wall,57
ghost,57
laughter,57
fruit,56
english,56
christian,56
clear,56
tall,56
victory,56
kindly,56
tongue,55
advantage,55
sort,55
name,55
story,55
treasure,55
deed,54
french,54
mere,54
