,0
love,1635
thy,1593
thee,1394
man,1233
young,1175
old,1123
like,1001
thou,987
heart,958
good,905
shall,899
god,881
life,833
little,799
come,772
true,771
know,720
o,711
sweet,637
great,606
let,531
place,518
eye,500
leave,490
ye,489
thing,484
woman,480
soul,478
look,475
live,467
find,448
well,432
long,419
see,401
light,398
way,397
away,396
dead,395
day,395
hand,387
dear,381
poor,379
word,372
voice,364
think,350
fair,347
child,345
world,329
song,327
flower,326
die,323
go,320
say,317
time,317
new,316
heaven,314
joy,312
earth,309
home,306
care,299
dream,293
bear,291
hear,287
hath,278
lie,275
face,275
thought,274
bird,273
give,269
feel,267
fall,260
hope,259
hold,258
fear,254
unto,253
oh,247
star,244
nature,244
death,243
grow,242
stand,241
till,240
tis,236
friend,236
mother,234
boy,234
rest,232
wild,230
rise,229
sound,226
round,226
spirit,226
peace,224
make,224
bring,220
white,216
pain,216
work,214
smile,214
tell,214
music,212
form,211
half,210
speak,209
deep,208
beauty,207
seek,205
night,204
far,203
strong,202
wise,200
high,200
sing,195
father,194
lose,194
thine,194
wind,193
sleep,192
hour,187
lady,186
art,185
air,185
mind,180
king,178
mortal,176
thousand,174
lip,174
doth,172
human,171
sun,170
rich,170
son,169
power,168
water,167
win,166
fire,166
meet,166
learn,165
strange,165
wing,165
pass,164
maid,161
shine,159
kind,159
wife,159
spring,158
happy,157
sea,157
lover,157
right,156
pleasure,156
gold,156
rose,155
year,155
soft,153
lord,153
turn,153
youth,151
take,151
tear,150
truth,149
head,148
brave,148
kiss,147
o'er,147
cry,145
de,145
fine,144
girl,144
desire,143
holy,143
sit,143
people,141
merry,141
beautiful,140
arm,139
lay,137
burn,137
sorrow,136
soon,136
want,135
bright,134
break,132
low,131
wine,130
ne'er,130
land,130
tender,129
delight,127
summer,126
mean,126
pretty,126
perfect,125
pure,123
fly,123
sick,122
blind,122
=,122
divine,121
gentle,121
lead,121
sad,120
note,120
noble,120
warm,120
save,120
small,119
cloud,119
moon,119
mighty,118
change,117
red,117
self,117
play,116
order,116
birth,116
return,116
praise,115
need,115
wish,115
answer,115
breath,115
read,114
ear,114
forth,114
foot,114
flame,113
heed,113
bad,112
sigh,112
run,112
poet,111
brother,111
fond,111
appear,111
follow,111
war,110
pity,109
hate,109
ask,108
law,108
free,107
sense,107
honest,107
vain,107
blood,107
angel,107
faith,106
common,106
talk,106
set,103
stone,103
maiden,102
hast,102
gift,102
wave,101
laugh,101
strength,101
write,100
weep,100
shape,99
touch,99
wear,99
sir,99
dark,98
grace,98
flight,97
golden,97
call,97
tree,97
horse,97
body,97
dost,96
simple,96
past,96
dance,96
reason,95
secret,95
ill,94
house,94
forget,94
ere,94
bee,93
dat,93
shadow,93
book,93
drink,93
send,93
earthly,93
memory,93
ah,93
fancy,92
lovely,92
trust,92
