line_index,LD_value
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,1.0
19,0.0
20,1.0
21,2.0
22,1.0
23,1.0
24,1.0
25,1.0
26,0.0
27,0.0
28,0.0
29,1.0
30,1.0
31,0.0
32,0.0
33,0.0
34,0.0
35,1.0
36,1.0
37,0.0
38,0.0
39,1.0
40,1.0
41,1.0
42,0.0
43,1.0
44,1.0
45,1.0
46,0.0
47,0.0
48,0.0
49,1.0
50,3.0
51,2.0
52,1.0
53,0.6666666666666666
54,0.5
55,0.0
56,3.0
57,0.0
58,0.0
59,1.0
60,1.0
61,0.0
62,0.6666666666666666
63,0.5
64,1.5
65,0.5
66,0.0
67,0.0
68,1.0
69,1.0
70,0.0
71,1.0
72,0.0
73,0.5
74,0.0
75,3.0
76,1.0
77,4.0
78,0.0
79,0.0
80,3.0
81,1.0
82,2.5
83,0.5
84,0.3333333333333333
85,2.0
86,0.0
87,0.5
88,0.0
89,1.0
90,1.0
91,0.0
92,0.0
93,3.0
94,0.5
95,2.0
96,2.0
97,0.0
98,2.0
99,0.2
100,0.0
101,0.0
102,0.0
103,1.0
104,0.3333333333333333
105,0.6666666666666666
106,1.5
107,0.3333333333333333
108,0.0
109,0.0
110,1.0
111,1.0
112,0.0
113,0.0
114,2.0
115,1.0
116,1.5
117,2.0
118,0.6666666666666666
119,0.5
120,2.0
121,0.3333333333333333
122,0.3333333333333333
123,1.0
124,0.3333333333333333
125,0.3333333333333333
126,0.5
127,0.5
128,2.0
129,0.0
130,0.0
131,2.0
132,0.3333333333333333
133,1.0
134,0.0
135,0.0
136,1.0
137,2.0
138,0.0
139,1.0
140,2.0
141,1.0
142,1.0
143,1.0
144,3.0
145,1.0
146,3.0
147,0.5
148,0.0
149,0.0
150,0.0
151,0.0
152,0.5
153,0.0
154,0.0
155,1.0
156,2.0
157,0.5
158,0.0
159,1.0
160,2.0
161,0.0
162,1.0
163,3.0
164,0.0
165,2.0
166,1.0
167,1.0
168,1.0
169,1.0
170,3.0
171,0.0
172,0.0
173,1.0
174,0.0
175,0.6666666666666666
176,0.0
177,0.0
178,2.0
179,0.0
180,0.0
181,2.0
182,0.0
183,0.0
184,2.0
185,0.0
186,0.0
187,1.0
188,0.0
189,0.0
190,0.0
191,1.0
192,0.0
193,0.0
194,0.0
195,0.5
196,0.0
197,0.0
198,0.0
199,2.0
200,0.0
201,0.0
202,2.0
203,1.0
204,0.0
205,0.5
206,0.0
207,0.0
208,2.0
209,0.5
210,0.0
211,0.0
212,0.0
213,1.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,2.0
231,0.5
232,3.0
233,0.0
234,0.0
235,4.0
236,1.0
