line_index,LD_value
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,1.0
35,0.3333333333333333
36,1.25
37,1.0
38,0.5
39,0.5
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,2.0
50,0.0
51,0.5
52,2.0
53,1.0
54,0.25
55,0.75
56,-1.0
57,2.0
58,1.0
59,2.0
60,0.0
61,-1.0
62,0.0
63,0.0
64,0.25
65,-1.0
66,-1.0
67,4.0
68,0.6666666666666666
69,-1.0
70,0.3333333333333333
71,1.0
72,0.6666666666666666
73,-1.0
74,4.0
75,2.0
76,1.0
77,0.3333333333333333
78,0.0
79,0.0
80,2.0
81,2.0
82,-1.0
83,1.0
84,-1.0
85,1.0
86,0.0
87,-1.0
88,0.0
89,-1.0
90,-1.0
91,-1.0
92,1.0
93,-1.0
94,1.0
95,0.5
96,1.0
97,1.0
98,-1.0
99,-1.0
100,0.0
101,2.0
102,1.0
103,0.0
104,3.0
105,0.6
106,-1.0
107,4.0
108,4.0
109,0.5
110,1.0
111,-1.0
112,0.6666666666666666
113,1.5
114,1.0
115,4.0
116,1.5
117,2.0
118,0.0
119,0.5
120,4.0
121,1.0
122,3.0
123,0.5
124,0.5
125,2.0
126,0.0
127,0.0
128,0.0
129,2.0
130,0.5
131,1.5
132,0.5
133,-1.0
134,-1.0
135,1.0
136,2.0
137,0.3333333333333333
138,-1.0
139,2.0
140,0.0
141,1.0
142,-1.0
143,0.5
144,-1.0
145,0.5
146,1.5
147,0.3333333333333333
148,2.0
149,-1.0
150,0.6666666666666666
151,-1.0
152,1.5
153,-1.0
154,-1.0
155,-1.0
156,-1.0
157,-1.0
158,-1.0
159,-1.0
160,-1.0
161,-1.0
162,-1.0
163,-1.0
164,-1.0
165,-1.0
166,-1.0
167,-1.0
168,-1.0
169,-1.0
170,-1.0
171,1.0
172,-1.0
173,0.0
174,-1.0
175,0.0
176,-1.0
177,0.0
178,-1.0
179,-1.0
